experiment_id	method	method_display_name	dataset	seed	config_path	output_root	source_artifact_path	implementation_key	pretext_template_key	mapping_status
round19_bioarxiv_seed100	round19	round19	bioarxiv	100	configs/experiments/thesis_e2_extra_unseen_repeat15/round19_bioarxiv_seed100.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/round19/bioarxiv/seed100		round19		canonical_round19
round19_bioarxiv_seed200	round19	round19	bioarxiv	200	configs/experiments/thesis_e2_extra_unseen_repeat15/round19_bioarxiv_seed200.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/round19/bioarxiv/seed200		round19		canonical_round19
round19_bioarxiv_seed300	round19	round19	bioarxiv	300	configs/experiments/thesis_e2_extra_unseen_repeat15/round19_bioarxiv_seed300.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/round19/bioarxiv/seed300		round19		canonical_round19
round19_bioarxiv_seed400	round19	round19	bioarxiv	400	configs/experiments/thesis_e2_extra_unseen_repeat15/round19_bioarxiv_seed400.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/round19/bioarxiv/seed400		round19		canonical_round19
round19_bioarxiv_seed500	round19	round19	bioarxiv	500	configs/experiments/thesis_e2_extra_unseen_repeat15/round19_bioarxiv_seed500.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/round19/bioarxiv/seed500		round19		canonical_round19
round19_bioarxiv_seed600	round19	round19	bioarxiv	600	configs/experiments/thesis_e2_extra_unseen_repeat15/round19_bioarxiv_seed600.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/round19/bioarxiv/seed600		round19		canonical_round19
round19_bioarxiv_seed700	round19	round19	bioarxiv	700	configs/experiments/thesis_e2_extra_unseen_repeat15/round19_bioarxiv_seed700.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/round19/bioarxiv/seed700		round19		canonical_round19
round19_rotten_tomatoes_seed42	round19	round19	rotten_tomatoes	42	configs/experiments/thesis_e2_extra_unseen_repeat15/round19_rotten_tomatoes_seed42.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/round19/rotten_tomatoes/seed42		round19		canonical_round19
round19_rotten_tomatoes_seed123	round19	round19	rotten_tomatoes	123	configs/experiments/thesis_e2_extra_unseen_repeat15/round19_rotten_tomatoes_seed123.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/round19/rotten_tomatoes/seed123		round19		canonical_round19
round19_rotten_tomatoes_seed456	round19	round19	rotten_tomatoes	456	configs/experiments/thesis_e2_extra_unseen_repeat15/round19_rotten_tomatoes_seed456.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_repeat15/round19/rotten_tomatoes/seed456		round19		canonical_round19
