experiment_id	dataset	seed	config_path	output_root	method	controller_scope	controller_bundle
r23_e2_smoke_bioarxiv_seed42	bioarxiv	42	configs/experiments/single_node_tuning_round23_dynamic/thesis_e2_extra_unseen_smoke/r23_e2_smoke_bioarxiv_seed42.yaml	outputs/thesis_e2_extra_unseen_smoke/bioarxiv/seed42	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e2_smoke_rotten_tomatoes_seed42	rotten_tomatoes	42	configs/experiments/single_node_tuning_round23_dynamic/thesis_e2_extra_unseen_smoke/r23_e2_smoke_rotten_tomatoes_seed42.yaml	outputs/thesis_e2_extra_unseen_smoke/rotten_tomatoes/seed42	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
r23_e2_smoke_twitter_emotion_binary_seed42	twitter_emotion_binary	42	configs/experiments/single_node_tuning_round23_dynamic/thesis_e2_extra_unseen_smoke/r23_e2_smoke_twitter_emotion_binary_seed42.yaml	outputs/thesis_e2_extra_unseen_smoke/twitter_emotion_binary/seed42	round23	all6	round23_controller_1200_all6_top1_delta_m0005_extratrees_broad_no_dataset
