experiment_id	method	method_display_name	dataset	seed	config_path	output_root	source_artifact_path	implementation_key	pretext_template_key	mapping_status
pretext_bioarxiv_seed42	pretext	PrE-Text	bioarxiv	42	configs/experiments/thesis_e2_extra_unseen_smoke/pretext_bioarxiv_seed42.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_smoke/pretext/bioarxiv/seed42		expand_private	expand_private	needs_verification
pretext_rotten_tomatoes_seed42	pretext	PrE-Text	rotten_tomatoes	42	configs/experiments/thesis_e2_extra_unseen_smoke/pretext_rotten_tomatoes_seed42.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_smoke/pretext/rotten_tomatoes/seed42		expand_private	expand_private	needs_verification
pretext_twitter_emotion_binary_seed42	pretext	PrE-Text	twitter_emotion_binary	42	configs/experiments/thesis_e2_extra_unseen_smoke/pretext_twitter_emotion_binary_seed42.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_smoke/pretext/twitter_emotion_binary/seed42		expand_private	expand_private	needs_verification
round19_bioarxiv_seed42	round19	round19	bioarxiv	42	configs/experiments/thesis_e2_extra_unseen_smoke/round19_bioarxiv_seed42.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_smoke/round19/bioarxiv/seed42		round19		canonical_round19
round19_rotten_tomatoes_seed42	round19	round19	rotten_tomatoes	42	configs/experiments/thesis_e2_extra_unseen_smoke/round19_rotten_tomatoes_seed42.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_smoke/round19/rotten_tomatoes/seed42		round19		canonical_round19
round19_twitter_emotion_binary_seed42	round19	round19	twitter_emotion_binary	42	configs/experiments/thesis_e2_extra_unseen_smoke/round19_twitter_emotion_binary_seed42.yaml	paper-new-round19/outputs/thesis_e2_extra_unseen_smoke/round19/twitter_emotion_binary/seed42		round19		canonical_round19
