experiment_id`tdataset_name`tmeta_seed`tbudget_k`tconfig_path`toutput_root`tgroup_name
r19_r23c_jobs_seed123_k20	jobs	123	20	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed123_k20.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed123/k20	round19_round23_collection_repeat40
r19_r23c_jobs_seed123_k21	jobs	123	21	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed123_k21.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed123/k21	round19_round23_collection_repeat40
r19_r23c_jobs_seed123_k22	jobs	123	22	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed123_k22.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed123/k22	round19_round23_collection_repeat40
r19_r23c_jobs_seed128_k18	jobs	128	18	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed128_k18.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed128/k18	round19_round23_collection_repeat40
r19_r23c_jobs_seed128_k19	jobs	128	19	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed128_k19.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed128/k19	round19_round23_collection_repeat40
r19_r23c_jobs_seed128_k20	jobs	128	20	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed128_k20.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed128/k20	round19_round23_collection_repeat40
r19_r23c_jobs_seed128_k21	jobs	128	21	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed128_k21.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed128/k21	round19_round23_collection_repeat40
r19_r23c_jobs_seed128_k22	jobs	128	22	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed128_k22.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed128/k22	round19_round23_collection_repeat40
r19_r23c_jobs_seed200_k18	jobs	200	18	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed200_k18.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed200/k18	round19_round23_collection_repeat40
r19_r23c_jobs_seed200_k19	jobs	200	19	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed200_k19.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed200/k19	round19_round23_collection_repeat40
r19_r23c_jobs_seed200_k20	jobs	200	20	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed200_k20.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed200/k20	round19_round23_collection_repeat40
r19_r23c_jobs_seed200_k21	jobs	200	21	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed200_k21.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed200/k21	round19_round23_collection_repeat40
r19_r23c_jobs_seed200_k22	jobs	200	22	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed200_k22.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed200/k22	round19_round23_collection_repeat40
r19_r23c_jobs_seed256_k18	jobs	256	18	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed256_k18.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed256/k18	round19_round23_collection_repeat40
r19_r23c_jobs_seed256_k19	jobs	256	19	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed256_k19.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed256/k19	round19_round23_collection_repeat40
r19_r23c_jobs_seed256_k20	jobs	256	20	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed256_k20.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed256/k20	round19_round23_collection_repeat40
r19_r23c_jobs_seed256_k21	jobs	256	21	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed256_k21.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed256/k21	round19_round23_collection_repeat40
r19_r23c_jobs_seed256_k22	jobs	256	22	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed256_k22.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed256/k22	round19_round23_collection_repeat40
r19_r23c_jobs_seed300_k18	jobs	300	18	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed300_k18.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed300/k18	round19_round23_collection_repeat40
r19_r23c_jobs_seed300_k19	jobs	300	19	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed300_k19.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed300/k19	round19_round23_collection_repeat40
r19_r23c_jobs_seed300_k20	jobs	300	20	configs/experiments/single_node_tuning_round19/round23_collection_repeat40/r19_r23c_jobs_seed300_k20.yaml	paper-new-round19/outputs/round23_collection_repeat40/jobs/seed300/k20	round19_round23_collection_repeat40
